repository_name,classes,enums,interfaces,annotation_interfaces,records
elasticsearch, 26953, 582, 1322, 41, 505
gson, 935, 23, 21, 7, 23
bazel, 9716, 389, 967, 51, 1
cas, 7150, 97, 516, 10, 81
Signal-Server, 711, 34, 36, 9, 127
checkstyle, 7943, 741, 929, 800, 524
graylog2-server, 4920, 137, 562, 36, 89
junit5, 2529, 44, 188, 159, 2
hazelcast, 16399, 297, 1042, 20, 6
camel, 32682, 560, 3808, 156, 2
spring-cloud-gateway, 815, 10, 31, 3, 1
sodium-fabric, 269, 27, 46, 0, 11
crate, 6979, 221, 410, 30, 41
logisim-evolution, 1685, 9, 114, 0, 19
openj9, 6742, 98, 437, 114, 10
jabref, 1993, 104, 80, 9, 21
CompreFace, 291, 14, 28, 4, 5
spring-data-elasticsearch, 923, 66, 121, 39, 28
WorldEdit, 1372, 37, 143, 21, 1
ArchUnit, 3056, 34, 404, 133, 16
signal-cli, 326, 27, 64, 0, 163
pdfsam, 555, 25, 32, 0, 44
spring-batch, 2674, 15, 136, 26, 6
Create, 2087, 132, 126, 1, 19
intellij-plugins, 6219, 120, 1095, 5, 3
jdbi, 1793, 27, 496, 133, 2
dependency-track, 503, 42, 15, 0, 18
AsciidocFX, 228, 4, 39, 1, 1
hapi-fhir, 5496, 157, 545, 57, 1
spring-data-redis, 1215, 81, 254, 20, 8
jooby, 939, 17, 94, 38, 2
spring-data-mongodb, 2399, 143, 413, 59, 13
spoon, 2861, 110, 375, 84, 12
blobsaver, 38, 3, 0, 1, 2
marquez, 499, 22, 25, 2, 12
Applied-Energistics-2, 1763, 130, 294, 5, 111
sdrtrunk, 2541, 308, 173, 0, 4
high-performance-java-persistence, 2068, 31, 82, 0, 13
Botania, 1178, 28, 156, 1, 23
DataFixerUpper, 317, 17, 115, 0, 25
sonar-java, 7419, 211, 544, 151, 106
full-stack-with-angular-and-spring-boot, 34, 0, 1, 0, 4
JustEnoughItems, 436, 21, 158, 2, 18
microcks, 318, 8, 22, 2, 1
sparrow, 873, 39, 31, 0, 23
restheart, 558, 24, 36, 3, 17
pcgen, 4888, 70, 314, 2, 2
xstream, 1219, 12, 63, 8, 11
cats, 503, 9, 8, 15, 1
blog-tutorials, 804, 1, 31, 5, 3
spring-data-commons, 1464, 117, 476, 54, 12
spark, 253, 30, 51, 0, 3
Chunky, 144, 1, 15, 0, 8
hellokoding-courses, 540, 3, 90, 3, 1
geckolib, 501, 15, 96, 0, 102
SapMachine, 82539, 2120, 8386, 1503, 667
bnd, 3727, 151, 624, 218, 5
JetBrainsRuntime, 83148, 2141, 8480, 1504, 703
activej, 3283, 48, 396, 72, 197
jenetics, 767, 14, 84, 0, 42
FastAsyncWorldEdit, 2020, 57, 213, 35, 31
slice, 90, 1, 2, 0, 1
service-proxy, 1311, 27, 73, 8, 1
sts4, 3730, 74, 442, 6, 10
Bytecoder, 12307, 274, 1469, 53, 33
sejda, 519, 36, 59, 16, 2
redis-om-spring, 412, 15, 121, 22, 1
stroom, 6295, 187, 1330, 35, 28
selenium-java-lean-test-architecture, 16, 3, 1, 0, 1
KeenWrite, 293, 7, 21, 0, 2
Springy-Store-Microservices, 69, 1, 15, 0, 5
MCreator, 1141, 23, 46, 0, 31
equalsverifier, 855, 14, 26, 48, 28
spring-data-neo4j, 1145, 30, 360, 23, 6
LiveLessons, 36201, 793, 5285, 0, 37
odd-platform, 561, 38, 171, 5, 103
oraxen, 285, 12, 6, 0, 5
DrivenByMoss, 1098, 63, 155, 0, 7
hilla, 859, 17, 41, 82, 3
sirix, 1102, 94, 143, 4, 21
master-spring-and-spring-boot, 170, 0, 12, 1, 8
Whatsapp4j, 302, 98, 98, 1, 64
cloud-native-spring-in-action, 1038, 23, 50, 0, 200
incubator-baremaps, 356, 8, 21, 0, 55
cloudbreak, 16948, 863, 1930, 84, 2
CodeKatas, 161, 12, 20, 0, 13
fx2048, 11, 2, 1, 0, 1
ImmersivePortalsMod, 449, 15, 92, 1, 29
dhis2-core, 5003, 307, 697, 26, 1
RoughlyEnoughItems, 671, 41, 181, 14, 13
kcctl, 92, 3, 1, 1, 20
