num_of_fields, frequency
0, 294611
1, 72669
2, 44217
3, 26451
4, 16813
5, 11182
6, 7503
7, 5280
8, 3782
9, 2729
10, 2093
11, 1469
12, 1294
13, 897
14, 762
15, 603
16, 516
17, 460
18, 351
19, 313
20, 278
21, 202
22, 175
23, 158
24, 143
26, 120
25, 117
27, 111
29, 83
28, 79
30, 69
32, 64
31, 60
36, 60
33, 58
34, 54
35, 53
37, 36
44, 35
39, 32
40, 25
38, 24
45, 23
41, 21
43, 18
46, 18
42, 17
49, 15
48, 14
47, 13
51, 13
50, 12
54, 12
55, 12
59, 9
67, 9
52, 8
56, 8
63, 8
53, 7
62, 6
70, 6
58, 5
60, 5
61, 5
66, 5
97, 5
64, 4
71, 4
76, 4
83, 4
91, 4
72, 3
78, 3
95, 3
2048, 2
300, 2
57, 2
68, 2
77, 2
80, 2
81, 2
82, 2
84, 2
87, 2
96, 2
102, 2
105, 2
115, 2
117, 2
126, 2
134, 2
150, 2
219, 2
65521, 2
254, 2
510, 2
1022, 2
2046, 2
8190, 2
16382, 2
8000, 1
65, 1
74, 1
75, 1
88, 1
90, 1
92, 1
99, 1
101, 1
104, 1
112, 1
119, 1
120, 1
124, 1
127, 1
145, 1
153, 1
166, 1
1729, 1
200, 1
214, 1
