repository_name,all_classes,has_non_final_fields,extends_other_class,has_prohibited_modifiers,has_instrance_initializer,has_inproper_canonical_constructor,has_get_prefixed_getters,has_effective_getters,record_format_classes
flowable-engine,7697,3255,371,4224,23,3,1522,1532,1438
kestra,781,424,76,343,0,0,16,16,151
UniversalMediaServer,1042,250,50,647,9,2,214,221,262
spring-cloud-config,585,218,14,167,27,0,84,86,212
servicecomb-java-chassis,3377,946,93,1230,242,0,517,528,1280
mastodon-android,619,238,21,507,2,0,30,30,30
BlueMap,330,136,14,95,0,1,127,129,119
openremote,1078,525,110,640,7,21,327,329,145
WorldGuard,362,97,30,194,0,0,67,69,102
jte,299,107,12,71,0,0,24,28,125
Slimefun4,650,87,37,389,0,0,138,139,205
fess,1373,674,134,958,31,0,150,155,82
ejml,890,321,53,480,1,1,96,102,201
No-Chat-Reports,82,19,16,32,0,1,7,11,32
BoofCV,5662,2853,429,3471,51,0,552,556,709
frostwire,2118,594,97,1314,3,1,296,330,532
js-graphql-intellij-plugin,912,164,38,454,1,0,199,199,317
Sketchware-Pro,3153,1393,182,1980,0,6,765,776,444
CraftBook,563,230,17,430,4,0,51,53,64
exist,2974,995,168,1562,1,22,521,532,820
Sponge,3086,803,962,1187,1,0,367,518,1088
MCXR,84,38,19,40,0,0,10,11,23
